Class,FanIn,FanOut,If,Try,SQL,McCabe
PO,6401,0,0,0,0,681
DB,6323,0,0,0,0,238
MOrder,387,1959,151,28,19,525
GridTable,288,1067,127,15,7,427
MPayment,392,1447,91,23,12,390
MRole,105,0,0,0,0,369
MInvoice,248,1281,93,18,12,355
MInOut,146,1231,134,9,6,351
UITab,25,0,0,0,0,313
GridTab,1384,568,76,16,9,312
MOrderLine,379,1135,84,6,4,281
GridField,219,427,71,10,3,256
X_I_Request,4,0,0,0,0,250
MWFActivity,136,747,91,7,1,248
MInvoiceLine,263,1119,64,6,4,245
CalloutOrder,9,665,65,7,8,241
CConnection,16,0,0,0,0,237
MRequest,81,522,49,8,3,236
ReportEngine,34,0,0,0,0,234
MCost,94,635,68,22,11,224
GwtServer,61,421,60,1,0,223
X_C_Order,708,0,0,0,0,219
FinReport,22,644,56,2,1,203
UIFieldVO,19,0,0,0,0,198
MBPartner,142,386,24,23,11,197
X_C_Payment,631,0,0,0,0,196
MTable,68,0,0,0,0,194
WebInfo,74,470,11,53,26,188
UIField,12,0,0,0,0,180
X_R_Request,212,0,0,0,0,177
Util,95,0,0,0,0,176
X_C_BPartner,303,0,0,0,0,175
Login,12,0,0,0,0,174
MTree,10,0,0,0,0,165
X_M_InOut,462,0,0,0,0,164
Ctx,1823,0,0,0,0,162
X_C_Invoice,589,0,0,0,0,160
MJournal,90,540,57,3,1,159
WebUser,162,406,34,10,3,158
WebUtil,92,404,21,22,0,157
MUser,185,0,0,0,0,156
X_I_GLJournal,68,0,0,0,0,155
X_I_Order,123,0,0,0,0,153
MInOutLine,195,502,45,4,2,151
X_C_AcctSchema_Default,64,0,0,0,0,151
MStorage,82,467,36,26,13,150
MAccount,58,0,0,0,0,150
UITabVO,4,0,0,0,0,149
X_C_OrderLine,659,0,0,0,0,145
MUOMConversion,90,316,26,5,3,142
X_I_Payment,52,0,0,0,0,142
MPrintFormat,15,0,0,0,0,142
X_AD_PrintFormatItem,58,0,0,0,0,140
MSetup,215,1079,50,3,1,139
X_C_Lead,154,0,0,0,0,138
X_I_Invoice,98,0,0,0,0,137
Env,130,0,0,0,0,134
EMail,63,0,0,0,0,133
X_M_Product,298,0,0,0,0,132
MCostDetail,43,485,57,4,2,129
MLookupFactory,12,0,0,0,0,125
DocumentEngine,15,0,0,0,0,124
MWorkflow,31,290,21,6,3,122
MMatchPO,32,336,45,15,8,121
X_Fact_Acct,23,0,0,0,0,121
X_AD_WF_Node,146,0,0,0,0,119
X_I_BankStatement,101,0,0,0,0,119
CalloutInvoice,8,335,38,4,5,119
X_C_Project,101,0,0,0,0,117
AllocationAuto,25,216,30,8,4,115
X_R_RequestAction,5,0,0,0,0,111
MSequence,1,0,0,0,0,110
X_C_InvoiceLine,375,0,0,0,0,109
MProductPricing,207,166,15,11,7,109
X_T_Aging,91,0,0,0,0,109
CostUpdate,26,264,28,10,6,109
Query,59,0,0,0,0,108
MClient,147,0,0,0,0,107
X_A_Asset,83,0,0,0,0,107
MAllocationHdr,63,299,26,7,3,107
X_I_Product,6,0,0,0,0,107
MProduct,119,293,32,6,3,106
MPaySelectionCheck,16,503,29,10,5,105
MLookup,2,0,0,0,0,105
MLead,50,380,23,0,0,104
InOutGenerate,11,232,28,3,1,104
X_AD_Column,117,0,0,0,0,103
MPeriod,112,222,19,5,4,103
MMovement,38,344,31,5,2,103
WebLogin,23,189,39,0,0,102
X_M_DiscountSchemaLine,20,0,0,0,0,101
MColumn,20,0,0,0,0,101
X_I_BPartner,121,0,0,0,0,100
POInfo,3,0,0,0,0,100
TimeUtil,147,0,0,0,0,99
MLocation,23,0,0,0,0,99
Msg,905,0,0,0,0,98
MJournalBatch,48,307,21,3,1,97
X_GL_Distribution,90,0,0,0,0,96
MGoal,27,201,15,8,4,96
MAcctSchemaElement,3,0,0,0,0,96
MInOutConfirm,34,278,35,3,1,95
ImportOrder,0,588,26,3,3,94
ProcessInfo,98,0,0,0,0,93
MAcctSchema,61,0,0,0,0,93
MWFNode,52,195,20,2,2,93
ScheduleUtil,13,443,24,5,5,93
MDocBaseType,4,0,0,0,0,92
X_AD_User,219,0,0,0,0,90
ViewImportFromDB,8,152,52,3,1,90
MInventory,32,322,28,3,1,89
CLogMgt,27,0,0,0,0,89
X_M_InOutLine,373,0,0,0,0,88
X_PA_ReportColumn,61,0,0,0,0,88
X_I_Locator,12,0,0,0,0,88
MStore,22,204,17,14,5,87
MAttachment,12,0,0,0,0,87
X_C_BankStatementLine,117,0,0,0,0,86
DisplayType,89,0,0,0,0,85
X_W_Store,71,0,0,0,0,85
Ini,35,0,0,0,0,83
StateEngine,26,0,0,0,0,83
X_AD_System,12,0,0,0,0,83
X_GL_DistributionLine,97,0,0,0,0,82
MAssignmentSlot,66,122,8,0,0,82
X_AD_Tab,5,0,0,0,0,82
CalloutInOut,0,285,30,3,4,82
X_GL_Journal,215,0,0,0,0,81
X_C_InvoiceBatchLine,80,0,0,0,0,81
MCash,40,276,18,7,3,81
ImpFormat,8,174,26,4,4,81
ImportInvoice,0,501,13,2,2,81
MWFProcess,49,134,17,3,1,80
