Class,FanIn,FanOut,If,Try,SQL,McCabe
EmployeeDao,0,0,0,0,0,0
PurchaseController,10,70,1,0,0,2
Invoice,12,0,0,0,1,1
InvoiceDao,0,0,0,0,0,0
CategoryDao,0,0,0,0,0,0
Product,41,0,0,0,1,1
HibernateUtil,46,3,0,1,0,2
Document,5,0,0,0,0,0
employee,1,0,0,0,0,0
ProductDao,0,0,0,0,0,0
Item,14,0,0,0,1,1
supplier,1,0,0,0,0,0
PurchaseDao,0,0,0,0,0,0
PrintInvoice,4,47,0,1,0,2
model,31,0,0,0,0,0
text,7,0,0,0,0,0
ProductController,11,125,3,0,0,3
CategoryController,10,103,2,0,0,2
PdfPCell,4,0,0,0,0,0
EditController,5,78,8,0,0,5
AddController,1,55,8,0,0,5
Payment,4,0,0,0,1,1
LoginController,7,36,8,0,0,6
Employee,24,0,0,0,1,1
ViewController,2,30,0,0,0,1
Barcode,3,0,0,0,0,0
SupplierDao,0,0,0,0,0,0
InvoiceModel,4,24,0,0,5,1
ReportController,10,88,1,0,0,2
SalesController,10,62,1,0,0,2
PurchaseModel,3,37,0,0,5,1
AdminController,12,73,0,0,0,2
ConfirmController,1,24,0,0,0,2
Sale,14,0,0,0,1,1
EmployeeModel,9,62,0,0,5,1
Category,10,0,0,0,1,1
MainApp,0,15,2,0,0,2
EmployeeController,10,111,2,0,0,2
PdfPTable,17,0,0,0,0,0
pos,2,0,0,0,0,0
Supplier,13,0,0,0,1,1
SalesModel,3,46,0,0,5,1
ProductModel,15,64,0,0,5,1
product,1,0,0,0,0,0
Purchase,10,0,0,0,1,1
SupplierController,10,105,2,0,0,2
PdfWriter,2,0,0,0,0,0
SaleDao,0,0,0,0,0,0
Paragraph,1,0,0,0,0,0
InvoiceController,2,56,5,0,0,4
pdf,6,0,0,0,0,0
PosController,17,159,14,0,0,4
report,1,0,0,0,0,0
SupplierModel,11,42,0,0,5,1
CategoryModel,9,40,0,0,5,1
category,1,0,0,0,0,0
entity,38,0,0,0,0,0
